customer_id,name,email,,,,
154,Keyboard Wireless,Electronics,75,2200,NULL,Logitech
155,Gaming Laptop,Electronics,25,95000,NULL,Asus
156,Office Laptop,Electronics,40,65000,NULL,HP
157,Mini PC,Electronics,18,42000,NULL,Intel
158,Graphics Tablet,Electronics,22,7800,NULL,Wacom
159,Wireless Keyboard,Electronics,75,1800,NULL,Logitech
160,Smart LED TV,Electronics,20,52000,NULL,Sony
161,Bluetooth Earbuds,Electronics,65,3200,NULL,Boat
162,Noise Cancelling Headphones,Electronics,30,8500,NULL,Sony
163,Gaming Mouse,Electronics,90,2200,NULL,Razer
164,USB Microphone,Electronics,35,4500,NULL,Blue
165,Office Desk,Furniture,15,15000,NULL,Ikea
166,Conference Table,Furniture,6,45000,NULL,Godrej
167,Executive Chair,Furniture,20,18000,NULL,Featherlite
168,Wooden Cabinet,Furniture,12,22000,NULL,Nilkamal
169,Bookshelf Large,Furniture,10,16000,NULL,Ikea
170,Reception Sofa,Furniture,5,38000,NULL,Durian
171,Drawer Unit,Furniture,18,9500,NULL,Godrej
172,Standing Desk,Furniture,8,32000,NULL,FlexiSpot
173,Visitor Chair,Furniture,45,4500,NULL,Nilkamal
174,Meeting Table,Furniture,7,40000,NULL,Ikea
175,Printer Paper A4,Stationery,300,280,NULL,JK Paper
176,Color Paper Pack,Stationery,180,320,NULL,Paperkraft
177,Sticky Notes Large,Stationery,250,180,NULL,3M
178,Pen Set,Stationery,400,150,NULL,Cello
179,Highlighter Set,Stationery,140,240,NULL,Faber-Castell
180,Office Scissors,Stationery,120,120,NULL,Kangaro
181,File Organizer,Stationery,160,360,NULL,Solo
182,Paper Clips Box,Stationery,300,90,NULL,Kangaro
183,Notebook Spiral,Stationery,200,110,NULL,Classmate
184,Stapler Heavy Duty,Stationery,80,350,NULL,Kangaro
185,Water Dispenser,Appliances,12,11500,NULL,Voltas
186,Microwave Oven,Appliances,10,18000,NULL,LG
187,Air Purifier,Appliances,9,21000,NULL,Philips
188,Vacuum Cleaner,Appliances,14,13500,NULL,Eureka Forbes
189,Refrigerator Mini,Appliances,8,24000,NULL,Samsung
190,Air Conditioner,Appliances,6,42000,NULL,Daikin
191,Electric Kettle,Appliances,35,1800,NULL,Prestige
192,Coffee Maker,Appliances,20,6500,NULL,Morphy Richards
193,Induction Cooktop,Appliances,28,3200,NULL,Prestige
194,Room Heater,Appliances,22,2800,NULL,Bajaj
195,Laptop Backpack,Accessories,90,2200,NULL,Wildcraft
196,Travel Adapter,Accessories,130,850,NULL,Portronics
197,Wireless Charger,Accessories,60,1500,NULL,Spigen
198,USB Extension,Accessories,170,350,NULL,Belkin
199,Screen Cleaner,Accessories,200,180,NULL,3M
200,Mobile Stand,Accessories,150,300,NULL,Amkette
201,Camera Tripod,Accessories,45,2500,NULL,Digitek
202,Hard Disk Case,Accessories,70,650,NULL,Orico
203,Cable Organizer,Accessories,190,220,NULL,AmazonBasics
204,Laptop Cooling Pad,Accessories,55,1700,NULL,Zebronics
205,Security Camera,Electronics,25,4800,NULL,CP Plus
206,Biometric Scanner,Electronics,18,6200,NULL,eSSL
207,POS Printer,Electronics,12,8900,NULL,TVS
208,Barcode Printer,Electronics,10,14500,NULL,TSC
209,Time Attendance Machine,Electronics,14,7300,NULL,ZKTeco
210,Network Router,Electronics,28,3600,NULL,TP-Link
211,WiFi Extender,Electronics,35,2800,NULL,Netgear
212,Smart Plug,Electronics,60,1200,NULL,Wipro
213,Digital Clock,Electronics,40,950,NULL,Ajanta
214,Surge Protector,Electronics,55,2100,NULL,Belkin
order_id,customer_id,order_date,,,,
order_item_id,order_id,product_id,quantity,price,,
product_id,product_name,category,price,stock,,
supplier_id,supplier_name,contact_email,phone,city,,
1,Logitech,contact@logitech.com,9876543210,Mumbai,,
2,Dell,sales@dell.com,9876500000,Bangalore,,
3,HP,info@hp.com,9123456780,Pune,,
4,Asus,support@asus.com,9988776655,Delhi,,
5,Dell,support@dell.com,9876543210,Bangalore,,
6,Logitech,support@logitech.com,9876501234,Pune,,
7,HP,support@hp.com,9876512345,Chennai,,
8,Samsung,support@samsung.com,9876598765,Delhi,,
9,Canon,support@canon.com,9876549876,Mumbai,,
